date,state,total cases,total deaths,new cases,new deaths
2020-01-21,Washington,1,0,1,0
2020-01-22,Washington,1,0,0,0
2020-01-23,Washington,1,0,0,0
2020-01-24,Washington,1,0,0,0
2020-01-25,Washington,1,0,0,0
2020-01-26,Washington,1,0,0,0
2020-01-27,Washington,1,0,0,0
2020-01-28,Washington,1,0,0,0
2020-01-29,Washington,1,0,0,0
2020-01-30,Washington,1,0,0,0
2020-01-31,Washington,1,0,0,0
2020-02-01,Washington,1,0,0,0
2020-02-02,Washington,1,0,0,0
2020-02-03,Washington,1,0,0,0
2020-02-04,Washington,1,0,0,0
2020-02-05,Washington,1,0,0,0
2020-02-06,Washington,1,0,0,0
2020-02-07,Washington,1,0,0,0
2020-02-08,Washington,1,0,0,0
2020-02-09,Washington,1,0,0,0
2020-02-10,Washington,1,0,0,0
2020-02-11,Washington,1,0,0,0
2020-02-12,Washington,1,0,0,0
2020-02-13,Washington,1,0,0,0
2020-02-14,Washington,1,0,0,0
2020-02-15,Washington,1,0,0,0
2020-02-16,Washington,1,0,0,0
2020-02-17,Washington,1,0,0,0
2020-02-18,Washington,1,0,0,0
2020-02-19,Washington,1,0,0,0
2020-02-20,Washington,1,0,0,0
2020-02-21,Washington,1,0,0,0
2020-02-22,Washington,1,0,0,0
2020-02-23,Washington,1,0,0,0
2020-02-24,Washington,5,0,4,0
2020-02-25,Washington,5,0,0,0
2020-02-26,Washington,5,0,0,0
2020-02-27,Washington,5,0,0,0
2020-02-28,Washington,7,0,2,0
2020-02-29,Washington,10,1,3,1
2020-03-01,Washington,17,3,7,2
2020-03-02,Washington,23,6,6,3
2020-03-03,Washington,32,10,9,4
2020-03-04,Washington,47,11,15,1
2020-03-05,Washington,75,11,28,0
2020-03-06,Washington,86,12,11,1
2020-03-07,Washington,110,16,24,4
2020-03-08,Washington,141,19,31,3
2020-03-09,Washington,179,22,38,3
2020-03-10,Washington,279,24,100,2
2020-03-11,Washington,338,29,59,5
2020-03-12,Washington,419,32,81,3
2020-03-13,Washington,511,37,92,5
2020-03-14,Washington,609,40,98,3
2020-03-15,Washington,675,42,66,2
2020-03-16,Washington,794,48,119,6
2020-03-17,Washington,908,54,114,6
2020-03-18,Washington,1026,68,118,14
2020-03-19,Washington,1228,75,202,7
2020-03-20,Washington,1404,83,176,8
2020-03-21,Washington,1655,95,251,12
2020-03-22,Washington,1844,97,189,2
2020-03-23,Washington,2101,110,257,13
2020-03-24,Washington,2469,123,368,13
2020-03-25,Washington,2585,130,116,7
2020-03-26,Washington,3208,152,623,22
2020-03-27,Washington,3770,179,562,27
2020-03-28,Washington,4311,193,541,14
2020-03-29,Washington,4897,209,586,16
2020-03-30,Washington,5180,221,283,12
2020-03-31,Washington,5293,226,113,5
2020-04-01,Washington,5589,250,296,24
2020-04-02,Washington,6586,272,997,22
2020-04-03,Washington,6967,293,381,21
2020-04-04,Washington,7499,318,532,25
2020-04-05,Washington,7985,344,486,26
