date,state,total cases,total deaths,new cases,new deaths
2020-03-06,Pennsylvania,2,0,2,0
2020-03-07,Pennsylvania,4,0,2,0
2020-03-08,Pennsylvania,6,0,2,0
2020-03-09,Pennsylvania,10,0,4,0
2020-03-10,Pennsylvania,12,0,2,0
2020-03-11,Pennsylvania,16,0,4,0
2020-03-12,Pennsylvania,22,0,6,0
2020-03-13,Pennsylvania,41,0,19,0
2020-03-14,Pennsylvania,47,0,6,0
2020-03-15,Pennsylvania,68,0,21,0
2020-03-16,Pennsylvania,81,0,13,0
2020-03-17,Pennsylvania,101,0,20,0
2020-03-18,Pennsylvania,139,1,38,1
2020-03-19,Pennsylvania,187,1,48,0
2020-03-20,Pennsylvania,269,1,82,0
2020-03-21,Pennsylvania,388,2,119,1
2020-03-22,Pennsylvania,504,3,116,1
2020-03-23,Pennsylvania,644,6,140,3
2020-03-24,Pennsylvania,851,8,207,2
2020-03-25,Pennsylvania,1151,12,300,4
2020-03-26,Pennsylvania,1690,16,539,4
2020-03-27,Pennsylvania,2217,23,527,7
2020-03-28,Pennsylvania,2815,35,598,12
2020-03-29,Pennsylvania,3441,40,626,5
2020-03-30,Pennsylvania,4156,48,715,8
2020-03-31,Pennsylvania,4997,72,841,24
2020-04-01,Pennsylvania,5805,78,808,6
2020-04-02,Pennsylvania,7021,91,1216,13
2020-04-03,Pennsylvania,8420,102,1399,11
2020-04-04,Pennsylvania,10110,140,1690,38
2020-04-05,Pennsylvania,11590,159,1480,19
2020-04-06,Pennsylvania,13075,170,1485,11
2020-04-07,Pennsylvania,14582,241,1507,71
2020-04-08,Pennsylvania,16414,313,1832,72
2020-04-09,Pennsylvania,18379,344,1965,31
2020-04-10,Pennsylvania,20128,435,1749,91
2020-04-11,Pennsylvania,21774,515,1646,80
2020-04-12,Pennsylvania,22955,525,1181,10
2020-04-13,Pennsylvania,24295,563,1340,38
2020-04-14,Pennsylvania,25591,746,1296,183
2020-04-15,Pennsylvania,26804,833,1213,87
2020-04-16,Pennsylvania,28314,940,1510,107
2020-04-17,Pennsylvania,30121,1027,1807,87
2020-04-18,Pennsylvania,31742,1150,1621,123
2020-04-19,Pennsylvania,32992,1285,1250,135
2020-04-20,Pennsylvania,34005,1366,1013,81
2020-04-21,Pennsylvania,35384,1620,1379,254
2020-04-22,Pennsylvania,36763,1720,1379,100
2020-04-23,Pennsylvania,38334,1723,1571,3
2020-04-24,Pennsylvania,40298,1786,1964,63
2020-04-25,Pennsylvania,41626,1842,1328,56
2020-04-26,Pennsylvania,42709,1871,1083,29
2020-04-27,Pennsylvania,43728,1946,1019,75
2020-04-28,Pennsylvania,45323,2092,1595,146
2020-04-29,Pennsylvania,46191,2392,868,300
2020-04-30,Pennsylvania,48224,2580,2033,188
2020-05-01,Pennsylvania,49764,2671,1540,91
2020-05-02,Pennsylvania,51071,2794,1307,123
2020-05-03,Pennsylvania,52079,2843,1008,49
2020-05-04,Pennsylvania,52992,2880,913,37
2020-05-05,Pennsylvania,53967,3206,975,326
2020-05-06,Pennsylvania,54989,3360,1022,154
2020-05-07,Pennsylvania,56149,3599,1160,239
2020-05-08,Pennsylvania,57501,3724,1352,125
2020-05-09,Pennsylvania,58661,3793,1160,69
2020-05-10,Pennsylvania,60037,3819,1376,26
2020-05-11,Pennsylvania,60557,3846,520,27
2020-05-12,Pennsylvania,61407,3924,850,78
2020-05-13,Pennsylvania,62194,4104,787,180
2020-05-14,Pennsylvania,63158,4298,964,194
2020-05-15,Pennsylvania,64178,4432,1020,134
2020-05-16,Pennsylvania,65228,4490,1050,58
2020-05-17,Pennsylvania,65745,4504,517,14
2020-05-18,Pennsylvania,66676,4560,931,56
2020-05-19,Pennsylvania,67404,4675,728,115
2020-05-20,Pennsylvania,68151,4794,747,119
2020-05-21,Pennsylvania,69252,4887,1101,93
2020-05-22,Pennsylvania,70305,5032,1053,145
2020-05-23,Pennsylvania,71102,5121,797,89
2020-05-24,Pennsylvania,71656,5145,554,24
2020-05-25,Pennsylvania,72356,5159,700,14
2020-05-26,Pennsylvania,72873,5175,517,16
2020-05-27,Pennsylvania,73646,5290,773,115
2020-05-28,Pennsylvania,74312,5397,666,107
2020-05-29,Pennsylvania,75073,5467,761,70
2020-05-30,Pennsylvania,75789,5537,716,70
2020-05-31,Pennsylvania,76218,5555,429,18
2020-06-01,Pennsylvania,76734,5574,516,19
2020-06-02,Pennsylvania,77315,5670,581,96
2020-06-03,Pennsylvania,77871,5742,556,72
2020-06-04,Pennsylvania,78428,5862,557,120
2020-06-05,Pennsylvania,78908,5952,480,90
2020-06-06,Pennsylvania,79507,5986,599,34
2020-06-07,Pennsylvania,80001,5997,494,11
2020-06-08,Pennsylvania,80432,6007,431,10
2020-06-09,Pennsylvania,80964,6070,532,63
2020-06-10,Pennsylvania,81410,6143,446,73
2020-06-11,Pennsylvania,81944,6187,534,44
