date,state,total cases,total deaths,new cases,new deaths
2020-03-05,Nevada,2,0,2,0
2020-03-06,Nevada,2,0,0,0
2020-03-07,Nevada,2,0,0,0
2020-03-08,Nevada,4,0,2,0
2020-03-09,Nevada,4,0,0,0
2020-03-10,Nevada,4,0,0,0
2020-03-11,Nevada,7,0,3,0
2020-03-12,Nevada,11,0,4,0
2020-03-13,Nevada,19,0,8,0
2020-03-14,Nevada,21,0,2,0
2020-03-15,Nevada,26,0,5,0
2020-03-16,Nevada,45,1,19,1
2020-03-17,Nevada,55,1,10,0
2020-03-18,Nevada,82,1,27,0
2020-03-19,Nevada,99,1,17,0
2020-03-20,Nevada,165,2,66,1
2020-03-21,Nevada,165,2,0,0
2020-03-22,Nevada,190,2,25,0
2020-03-23,Nevada,265,4,75,2
2020-03-24,Nevada,315,6,50,2
2020-03-25,Nevada,405,10,90,4
2020-03-26,Nevada,535,10,130,0
2020-03-27,Nevada,621,10,86,0
2020-03-28,Nevada,738,14,117,4
2020-03-29,Nevada,920,15,182,1
2020-03-30,Nevada,1044,18,124,3
2020-03-31,Nevada,1113,26,69,8
2020-04-01,Nevada,1279,32,166,6
2020-04-02,Nevada,1458,38,179,6
2020-04-03,Nevada,1549,43,91,5
2020-04-04,Nevada,1758,46,209,3
2020-04-05,Nevada,1880,46,122,0
2020-04-06,Nevada,1971,58,91,12
2020-04-07,Nevada,2101,60,130,2
2020-04-08,Nevada,2318,80,217,20
2020-04-09,Nevada,2456,82,138,2
2020-04-10,Nevada,2606,86,150,4
2020-04-11,Nevada,2720,111,114,25
2020-04-12,Nevada,2860,113,140,2
2020-04-13,Nevada,3036,114,176,1
2020-04-14,Nevada,3137,130,101,16
2020-04-15,Nevada,3212,137,75,7
2020-04-16,Nevada,3321,142,109,5
2020-04-17,Nevada,3524,151,203,9
2020-04-18,Nevada,3626,155,102,4
2020-04-19,Nevada,3710,158,84,3
2020-04-20,Nevada,3830,163,120,5
2020-04-21,Nevada,3937,163,107,0
2020-04-22,Nevada,4081,187,144,24
2020-04-23,Nevada,4208,195,127,8
2020-04-24,Nevada,4398,203,190,8
2020-04-25,Nevada,4539,206,141,3
2020-04-26,Nevada,4638,206,99,0
2020-04-27,Nevada,4708,219,70,13
2020-04-28,Nevada,4812,225,104,6
2020-04-29,Nevada,4934,237,122,12
2020-04-30,Nevada,5053,243,119,6
2020-05-01,Nevada,5249,254,196,11
2020-05-02,Nevada,5390,257,141,3
2020-05-03,Nevada,5473,262,83,5
2020-05-04,Nevada,5627,266,154,4
2020-05-05,Nevada,5665,276,38,10
2020-05-06,Nevada,5744,286,79,10
2020-05-07,Nevada,5858,293,114,7
2020-05-08,Nevada,5942,301,84,8
2020-05-09,Nevada,6046,306,104,5
2020-05-10,Nevada,6120,306,74,0
2020-05-11,Nevada,6152,312,32,6
2020-05-12,Nevada,6311,321,159,9
2020-05-13,Nevada,6482,331,171,10
2020-05-14,Nevada,6604,339,122,8
2020-05-15,Nevada,6733,345,129,6
2020-05-16,Nevada,6810,349,77,4
2020-05-17,Nevada,6935,350,125,1
2020-05-18,Nevada,7059,364,124,14
2020-05-19,Nevada,7169,373,110,9
2020-05-20,Nevada,7301,378,132,5
2020-05-21,Nevada,7404,381,103,3
2020-05-22,Nevada,7531,387,127,6
2020-05-23,Nevada,7769,392,238,5
2020-05-24,Nevada,7886,394,117,2
2020-05-25,Nevada,7959,396,73,2
2020-05-26,Nevada,8059,396,100,0
2020-05-27,Nevada,8150,402,91,6
2020-05-28,Nevada,8247,410,97,8
2020-05-29,Nevada,8375,415,128,5
2020-05-30,Nevada,8519,417,144,2
2020-05-31,Nevada,8628,419,109,2
2020-06-01,Nevada,8701,420,73,1
2020-06-02,Nevada,8858,420,157,0
2020-06-03,Nevada,8950,429,92,9
2020-06-04,Nevada,9118,429,168,0
2020-06-05,Nevada,9306,436,188,7
2020-06-06,Nevada,9494,437,188,1
2020-06-07,Nevada,9673,438,179,1
2020-06-08,Nevada,9815,442,142,4
2020-06-09,Nevada,10046,445,231,3
2020-06-10,Nevada,10216,449,170,4
2020-06-11,Nevada,10464,460,248,11
2020-06-12,Nevada,10704,462,240,2
2020-06-13,Nevada,10992,463,288,1
2020-06-14,Nevada,11199,464,207,1
2020-06-15,Nevada,11316,466,117,2
2020-06-16,Nevada,11673,467,357,1
2020-06-17,Nevada,11852,473,179,6
2020-06-18,Nevada,12164,475,312,2
2020-06-19,Nevada,12525,479,361,4
2020-06-20,Nevada,12977,486,452,7
2020-06-21,Nevada,13236,487,259,1
2020-06-22,Nevada,13575,490,339,3
2020-06-23,Nevada,14058,492,483,2
2020-06-24,Nevada,14460,494,402,2
2020-06-25,Nevada,14911,495,451,1
2020-06-26,Nevada,15359,498,448,3
2020-06-27,Nevada,16400,500,1041,2
2020-06-28,Nevada,17187,500,787,0
2020-06-29,Nevada,17971,505,784,5
2020-06-30,Nevada,18582,507,611,2
2020-07-01,Nevada,19151,512,569,5
2020-07-02,Nevada,19871,525,720,13
2020-07-03,Nevada,20878,530,1007,5
2020-07-04,Nevada,21671,530,793,0
2020-07-05,Nevada,22518,537,847,7
2020-07-06,Nevada,22930,537,412,0
2020-07-07,Nevada,23848,549,918,12
2020-07-08,Nevada,24378,556,530,7
2020-07-09,Nevada,25055,574,677,18
2020-07-10,Nevada,25961,581,906,7
2020-07-11,Nevada,26912,592,951,11
2020-07-12,Nevada,27745,593,833,1
2020-07-13,Nevada,28597,596,852,3
2020-07-14,Nevada,29669,613,1072,17
2020-07-15,Nevada,30587,619,918,6
2020-07-16,Nevada,32024,627,1437,8
2020-07-17,Nevada,33372,638,1348,11
2020-07-18,Nevada,34606,647,1234,9
2020-07-19,Nevada,35826,648,1220,1
2020-07-20,Nevada,36805,650,979,2
2020-07-21,Nevada,37605,680,800,30
2020-07-22,Nevada,38759,705,1154,25
2020-07-23,Nevada,40088,709,1329,4
2020-07-24,Nevada,41013,722,925,13
2020-07-25,Nevada,41993,733,980,11
2020-07-26,Nevada,42919,734,926,1
2020-07-27,Nevada,43880,739,961,5
2020-07-28,Nevada,44991,760,1111,21
2020-07-29,Nevada,45937,782,946,22
2020-07-30,Nevada,47034,805,1097,23
2020-07-31,Nevada,48142,831,1108,26
2020-08-01,Nevada,49207,832,1065,1
2020-08-02,Nevada,50270,833,1063,1
2020-08-03,Nevada,51236,847,966,14
2020-08-04,Nevada,52256,862,1020,15
2020-08-05,Nevada,52919,891,663,29
2020-08-06,Nevada,53705,901,786,10
2020-08-07,Nevada,54633,920,928,19
2020-08-08,Nevada,55481,949,848,29
2020-08-09,Nevada,56278,959,797,10
2020-08-10,Nevada,57022,963,744,4
2020-08-11,Nevada,57608,982,586,19
2020-08-12,Nevada,58132,999,524,17
2020-08-13,Nevada,58812,1030,680,31
2020-08-14,Nevada,59800,1045,988,15
2020-08-15,Nevada,60648,1070,848,25
2020-08-16,Nevada,61374,1074,726,4
2020-08-17,Nevada,62022,1077,648,3
2020-08-18,Nevada,62752,1102,730,25
2020-08-19,Nevada,63127,1135,375,33
2020-08-20,Nevada,63699,1175,572,40
2020-08-21,Nevada,64573,1185,874,10
2020-08-22,Nevada,65150,1197,577,12
2020-08-23,Nevada,65678,1199,528,2
2020-08-24,Nevada,66073,1200,395,1
2020-08-25,Nevada,66515,1230,442,30
2020-08-26,Nevada,66732,1250,217,20
2020-08-27,Nevada,67324,1274,592,24
2020-08-28,Nevada,67984,1287,660,13
2020-08-29,Nevada,68576,1303,592,16
2020-08-30,Nevada,68981,1305,405,2
2020-08-31,Nevada,69318,1305,337,0
2020-09-01,Nevada,69708,1313,390,8
2020-09-02,Nevada,69927,1338,219,25
2020-09-03,Nevada,70319,1366,392,28
2020-09-04,Nevada,70783,1376,464,10
2020-09-05,Nevada,71184,1390,401,14
2020-09-06,Nevada,71711,1394,527,4
2020-09-07,Nevada,72048,1394,337,0
2020-09-08,Nevada,72165,1395,117,1
2020-09-09,Nevada,72317,1414,152,19
2020-09-10,Nevada,72620,1432,303,18
2020-09-11,Nevada,72886,1441,266,9
2020-09-12,Nevada,73291,1453,405,12
2020-09-13,Nevada,73648,1454,357,1
2020-09-14,Nevada,73889,1456,241,2
2020-09-15,Nevada,74129,1484,240,28
2020-09-16,Nevada,74377,1496,248,12
2020-09-17,Nevada,74792,1509,415,13
2020-09-18,Nevada,75153,1526,361,17
2020-09-19,Nevada,75524,1528,371,2
2020-09-20,Nevada,75914,1532,390,4
2020-09-21,Nevada,76119,1531,205,0
2020-09-22,Nevada,76376,1546,257,15
2020-09-23,Nevada,76907,1556,531,10
2020-09-24,Nevada,77338,1565,431,9
2020-09-25,Nevada,77930,1573,592,8
2020-09-26,Nevada,78464,1583,534,10
2020-09-27,Nevada,78820,1585,356,2
2020-09-28,Nevada,79313,1586,493,1
2020-09-29,Nevada,79691,1594,378,8
2020-09-30,Nevada,80084,1600,393,6
2020-10-01,Nevada,80507,1603,423,3
2020-10-02,Nevada,81285,1611,778,8
2020-10-03,Nevada,81829,1623,544,12
2020-10-04,Nevada,82134,1623,305,0
2020-10-05,Nevada,82544,1624,410,1
2020-10-06,Nevada,83036,1630,492,6
2020-10-07,Nevada,83500,1639,464,9
2020-10-08,Nevada,83971,1650,471,11
2020-10-09,Nevada,84785,1658,814,8
2020-10-10,Nevada,85463,1659,678,1
2020-10-11,Nevada,85922,1663,459,4
2020-10-12,Nevada,86433,1670,511,7
2020-10-13,Nevada,86970,1677,537,7
2020-10-14,Nevada,87527,1694,557,17
2020-10-15,Nevada,88081,1700,554,6
2020-10-16,Nevada,88832,1707,751,7
2020-10-17,Nevada,89848,1709,1016,2
2020-10-18,Nevada,90374,1711,526,2
2020-10-19,Nevada,90978,1714,604,3
2020-10-20,Nevada,91679,1728,701,14
2020-10-21,Nevada,92193,1735,514,7
2020-10-22,Nevada,93028,1736,835,1
2020-10-23,Nevada,94044,1739,1016,3
2020-10-24,Nevada,94935,1746,891,7
2020-10-25,Nevada,95798,1748,863,2
2020-10-26,Nevada,96330,1751,532,3
2020-10-27,Nevada,97138,1757,808,6
2020-10-28,Nevada,97824,1767,686,10
2020-10-29,Nevada,98814,1770,990,3
2020-10-30,Nevada,100038,1777,1224,7
2020-10-31,Nevada,100844,1779,806,2
2020-11-01,Nevada,101594,1783,750,4
2020-11-02,Nevada,102243,1785,649,2
2020-11-03,Nevada,103305,1807,1062,22
2020-11-04,Nevada,104514,1816,1209,9
2020-11-05,Nevada,105706,1825,1192,9
2020-11-06,Nevada,107258,1846,1552,21
2020-11-07,Nevada,109326,1851,2068,5
2020-11-08,Nevada,110308,1852,982,1
2020-11-09,Nevada,111323,1853,1015,1
2020-11-10,Nevada,112602,1863,1279,10
2020-11-11,Nevada,113856,1877,1254,14
2020-11-12,Nevada,115360,1880,1504,3
2020-11-13,Nevada,117322,1896,1962,16
2020-11-14,Nevada,119228,1908,1906,12
2020-11-15,Nevada,120744,1913,1516,5
2020-11-16,Nevada,122441,1919,1697,6
2020-11-17,Nevada,124082,1946,1641,27
2020-11-18,Nevada,126106,1947,2024,1
2020-11-19,Nevada,128234,1958,2128,11
2020-11-20,Nevada,130102,1987,1868,29
2020-11-21,Nevada,132610,2017,2508,30
2020-11-22,Nevada,134761,2022,2151,5
2020-11-23,Nevada,136672,2030,1911,8
2020-11-24,Nevada,140572,2053,3900,23
2020-11-25,Nevada,142951,2077,2379,24
2020-11-26,Nevada,144794,2093,1843,16
2020-11-27,Nevada,147145,2103,2351,10
2020-11-28,Nevada,149613,2123,2468,20
2020-11-29,Nevada,150825,2140,1212,17
2020-11-30,Nevada,152726,2149,1901,9
2020-12-01,Nevada,155312,2182,2586,33
2020-12-02,Nevada,157586,2225,2274,43
2020-12-03,Nevada,160317,2259,2731,34
2020-12-04,Nevada,163065,2276,2748,17
2020-12-05,Nevada,166187,2309,3122,33
2020-12-06,Nevada,168758,2318,2571,9
2020-12-07,Nevada,171159,2326,2401,8
2020-12-08,Nevada,174050,2368,2891,42
2020-12-09,Nevada,176674,2395,2624,27
2020-12-10,Nevada,179409,2448,2735,53
2020-12-11,Nevada,181922,2488,2513,40
2020-12-12,Nevada,184527,2530,2605,42
2020-12-13,Nevada,187502,2545,2975,15
2020-12-14,Nevada,189805,2557,2303,12
2020-12-15,Nevada,192109,2609,2304,52
2020-12-16,Nevada,194461,2659,2352,50
2020-12-17,Nevada,197059,2680,2598,21
2020-12-18,Nevada,200032,2728,2973,48
2020-12-19,Nevada,202164,2754,2132,26
2020-12-20,Nevada,204227,2786,2063,32
2020-12-21,Nevada,206195,2801,1968,15
2020-12-22,Nevada,207351,2832,1156,31
2020-12-23,Nevada,210319,2885,2968,53
2020-12-24,Nevada,212662,2926,2343,41
2020-12-25,Nevada,214077,2943,1415,17
2020-12-26,Nevada,216329,2951,2252,8
2020-12-27,Nevada,217653,2965,1324,14
2020-12-28,Nevada,218653,2973,1000,8
2020-12-29,Nevada,220378,3035,1725,62
2020-12-30,Nevada,223033,3081,2655,46
2020-12-31,Nevada,225165,3136,2132,55
2021-01-01,Nevada,227046,3146,1881,10
2021-01-02,Nevada,229601,3158,2555,12
2021-01-03,Nevada,231869,3195,2268,37
2021-01-04,Nevada,233324,3209,1455,14
2021-01-05,Nevada,235710,3246,2386,37
2021-01-06,Nevada,237775,3301,2065,55
2021-01-07,Nevada,241144,3349,3369,48
2021-01-08,Nevada,244103,3409,2959,60
2021-01-09,Nevada,246659,3457,2556,48
2021-01-10,Nevada,248758,3470,2099,13
2021-01-11,Nevada,250471,3503,1713,33
2021-01-12,Nevada,253100,3551,2629,48
2021-01-13,Nevada,254043,3596,943,45
2021-01-14,Nevada,256463,3664,2420,68
2021-01-15,Nevada,258438,3704,1975,40
2021-01-16,Nevada,260222,3764,1784,60
2021-01-17,Nevada,261847,3784,1625,20
2021-01-18,Nevada,262867,3784,1020,0
2021-01-19,Nevada,264223,3794,1356,10
2021-01-20,Nevada,265228,3869,1005,75
2021-01-21,Nevada,266643,3915,1415,46
2021-01-22,Nevada,268344,3967,1701,52
2021-01-23,Nevada,269928,4017,1584,50
2021-01-24,Nevada,271029,4027,1101,10
2021-01-25,Nevada,272006,4032,977,5
2021-01-26,Nevada,272942,4092,936,60
2021-01-27,Nevada,274039,4139,1097,47
2021-01-28,Nevada,275125,4188,1086,49
2021-01-29,Nevada,276507,4225,1382,37
2021-01-30,Nevada,277547,4268,1040,43
2021-01-31,Nevada,278447,4271,900,3
2021-02-01,Nevada,279228,4281,781,10
2021-02-02,Nevada,280025,4328,797,47
2021-02-03,Nevada,280835,4376,810,48
2021-02-04,Nevada,281780,4428,945,52
2021-02-05,Nevada,282700,4466,920,38
2021-02-06,Nevada,283459,4498,759,32
2021-02-07,Nevada,284137,4521,678,23
2021-02-08,Nevada,284679,4524,542,3
2021-02-09,Nevada,285178,4565,499,41
2021-02-10,Nevada,285869,4585,691,20
2021-02-11,Nevada,286514,4640,645,55
2021-02-12,Nevada,287091,4668,577,28
2021-02-13,Nevada,287874,4695,783,27
2021-02-14,Nevada,288483,4709,609,14
2021-02-15,Nevada,288764,4722,281,13
2021-02-16,Nevada,289094,4736,330,14
2021-02-17,Nevada,289465,4776,371,40
2021-02-18,Nevada,289962,4807,497,31
2021-02-19,Nevada,290399,4838,437,31
2021-02-20,Nevada,290742,4870,343,32
2021-02-21,Nevada,291024,4872,282,2
2021-02-22,Nevada,291198,4882,174,10
2021-02-23,Nevada,291698,4903,500,21
