date,state,total cases,total deaths,new cases,new deaths
2020-03-06,Indiana,1,0,1,0
2020-03-07,Indiana,1,0,0,0
2020-03-08,Indiana,2,0,1,0
2020-03-09,Indiana,4,0,2,0
2020-03-10,Indiana,6,0,2,0
2020-03-11,Indiana,11,0,5,0
2020-03-12,Indiana,12,0,1,0
2020-03-13,Indiana,12,0,0,0
2020-03-14,Indiana,15,0,3,0
2020-03-15,Indiana,19,0,4,0
2020-03-16,Indiana,24,1,5,1
2020-03-17,Indiana,30,2,6,1
2020-03-18,Indiana,39,2,9,0
2020-03-19,Indiana,56,2,17,0
2020-03-20,Indiana,81,5,25,3
2020-03-21,Indiana,128,6,47,1
2020-03-22,Indiana,204,9,76,3
2020-03-23,Indiana,264,12,60,3
2020-03-24,Indiana,371,17,107,5
2020-03-25,Indiana,484,19,113,2
2020-03-26,Indiana,661,23,177,4
2020-03-27,Indiana,992,32,331,9
2020-03-28,Indiana,1239,38,247,6
2020-03-29,Indiana,1522,40,283,2
2020-03-30,Indiana,1797,44,275,4
2020-03-31,Indiana,2177,61,380,17
2020-04-01,Indiana,2578,80,401,19
2020-04-02,Indiana,3056,94,478,14
2020-04-03,Indiana,3455,118,399,24
2020-04-04,Indiana,3975,136,520,18
2020-04-05,Indiana,4437,151,462,15
2020-04-06,Indiana,4986,171,549,20
2020-04-07,Indiana,5544,208,558,37
2020-04-08,Indiana,5986,246,442,38
2020-04-09,Indiana,6400,295,414,49
2020-04-10,Indiana,6960,353,560,58
2020-04-11,Indiana,7494,389,534,36
2020-04-12,Indiana,7990,405,496,16
2020-04-13,Indiana,8300,414,310,9
2020-04-14,Indiana,8598,458,298,44
2020-04-15,Indiana,9030,511,432,53
2020-04-16,Indiana,9619,554,589,43
2020-04-17,Indiana,10235,599,616,45
2020-04-18,Indiana,10730,633,495,34
2020-04-19,Indiana,11301,652,571,19
2020-04-20,Indiana,11784,666,483,14
2020-04-21,Indiana,12214,731,430,65
2020-04-22,Indiana,12575,764,361,33
2020-04-23,Indiana,13196,811,621,47
2020-04-24,Indiana,13848,851,652,40
2020-04-25,Indiana,14567,897,719,46
2020-04-26,Indiana,15187,928,620,31
2020-04-27,Indiana,16137,932,950,4
2020-04-28,Indiana,16783,992,646,60
2020-04-29,Indiana,17409,1065,626,73
2020-04-30,Indiana,18099,1114,690,49
2020-05-01,Indiana,18941,1175,842,61
2020-05-02,Indiana,19629,1229,688,54
2020-05-03,Indiana,20267,1246,638,17
2020-05-04,Indiana,20855,1264,588,18
2020-05-05,Indiana,21423,1326,568,62
