date,state,total cases,total deaths,new cases,new deaths
2020-02-01,Massachusetts,1,0,1,0
2020-02-02,Massachusetts,1,0,0,0
2020-02-03,Massachusetts,1,0,0,0
2020-02-04,Massachusetts,1,0,0,0
2020-02-05,Massachusetts,1,0,0,0
2020-02-06,Massachusetts,1,0,0,0
2020-02-07,Massachusetts,1,0,0,0
2020-02-08,Massachusetts,1,0,0,0
2020-02-09,Massachusetts,1,0,0,0
2020-02-10,Massachusetts,1,0,0,0
2020-02-11,Massachusetts,1,0,0,0
2020-02-12,Massachusetts,1,0,0,0
2020-02-13,Massachusetts,1,0,0,0
2020-02-14,Massachusetts,1,0,0,0
2020-02-15,Massachusetts,1,0,0,0
2020-02-16,Massachusetts,1,0,0,0
2020-02-17,Massachusetts,1,0,0,0
2020-02-18,Massachusetts,1,0,0,0
2020-02-19,Massachusetts,1,0,0,0
2020-02-20,Massachusetts,1,0,0,0
2020-02-21,Massachusetts,1,0,0,0
2020-02-22,Massachusetts,1,0,0,0
2020-02-23,Massachusetts,1,0,0,0
2020-02-24,Massachusetts,1,0,0,0
2020-02-25,Massachusetts,1,0,0,0
2020-02-26,Massachusetts,1,0,0,0
2020-02-27,Massachusetts,1,0,0,0
2020-02-28,Massachusetts,1,0,0,0
2020-02-29,Massachusetts,1,0,0,0
2020-03-01,Massachusetts,1,0,0,0
2020-03-02,Massachusetts,2,0,1,0
2020-03-03,Massachusetts,2,0,0,0
2020-03-04,Massachusetts,2,0,0,0
2020-03-05,Massachusetts,3,0,1,0
2020-03-06,Massachusetts,8,0,5,0
2020-03-07,Massachusetts,13,0,5,0
2020-03-08,Massachusetts,28,0,15,0
2020-03-09,Massachusetts,41,0,13,0
2020-03-10,Massachusetts,92,0,51,0
2020-03-11,Massachusetts,95,0,3,0
2020-03-12,Massachusetts,108,0,13,0
2020-03-13,Massachusetts,123,0,15,0
2020-03-14,Massachusetts,138,0,15,0
2020-03-15,Massachusetts,164,0,26,0
2020-03-16,Massachusetts,197,0,33,0
2020-03-17,Massachusetts,218,0,21,0
2020-03-18,Massachusetts,256,0,38,0
2020-03-19,Massachusetts,328,0,72,0
2020-03-20,Massachusetts,413,1,85,1
2020-03-21,Massachusetts,525,2,112,1
2020-03-22,Massachusetts,646,5,121,3
2020-03-23,Massachusetts,777,9,131,4
2020-03-24,Massachusetts,1159,11,382,2
2020-03-25,Massachusetts,1838,15,679,4
2020-03-26,Massachusetts,2417,25,579,10
2020-03-27,Massachusetts,3240,35,823,10
2020-03-28,Massachusetts,4257,44,1017,9
2020-03-29,Massachusetts,4955,48,698,4
2020-03-30,Massachusetts,5752,56,797,8
2020-03-31,Massachusetts,6620,89,868,33
2020-04-01,Massachusetts,7738,122,1118,33
2020-04-02,Massachusetts,8966,154,1228,32
2020-04-03,Massachusetts,10402,192,1436,38
2020-04-04,Massachusetts,11736,216,1334,24
2020-04-05,Massachusetts,12500,231,764,15
2020-04-06,Massachusetts,13837,260,1337,29
2020-04-07,Massachusetts,15202,356,1365,96
2020-04-08,Massachusetts,16790,433,1588,77
2020-04-09,Massachusetts,18941,503,2151,70
2020-04-10,Massachusetts,20974,599,2033,96
2020-04-11,Massachusetts,22860,686,1886,87
2020-04-12,Massachusetts,25475,756,2615,70
2020-04-13,Massachusetts,26867,844,1392,88
2020-04-14,Massachusetts,28163,957,1296,113
2020-04-15,Massachusetts,29918,1108,1755,151
2020-04-16,Massachusetts,32181,1245,2263,137
2020-04-17,Massachusetts,34402,1404,2221,159
2020-04-18,Massachusetts,36372,1560,1970,156
2020-04-19,Massachusetts,38077,1706,1705,146
2020-04-20,Massachusetts,39643,1809,1566,103
2020-04-21,Massachusetts,41199,1961,1556,152
2020-04-22,Massachusetts,42944,2182,1745,221
2020-04-23,Massachusetts,46023,2360,3079,178
2020-04-24,Massachusetts,50969,2556,4946,196
2020-04-25,Massachusetts,53348,2730,2379,174
2020-04-26,Massachusetts,54938,2899,1590,169
2020-04-27,Massachusetts,56462,3003,1524,104
2020-04-28,Massachusetts,58302,3153,1840,150
2020-04-29,Massachusetts,60265,3405,1963,252
2020-04-30,Massachusetts,62205,3562,1940,157
2020-05-01,Massachusetts,64311,3716,2106,154
