date,state,total cases,total deaths,new cases,new deaths
2020-03-11,Arkansas,1,0,1,0
2020-03-12,Arkansas,6,0,5,0
2020-03-13,Arkansas,7,0,1,0
2020-03-14,Arkansas,9,0,2,0
2020-03-15,Arkansas,16,0,7,0
2020-03-16,Arkansas,22,0,6,0
2020-03-17,Arkansas,22,0,0,0
2020-03-18,Arkansas,33,0,11,0
2020-03-19,Arkansas,62,0,29,0
2020-03-20,Arkansas,100,0,38,0
2020-03-21,Arkansas,118,0,18,0
2020-03-22,Arkansas,165,0,47,0
2020-03-23,Arkansas,201,0,36,0
2020-03-24,Arkansas,231,2,30,2
2020-03-25,Arkansas,307,2,76,0
2020-03-26,Arkansas,350,3,43,1
2020-03-27,Arkansas,385,3,35,0
2020-03-28,Arkansas,409,5,24,2
2020-03-29,Arkansas,449,6,40,1
2020-03-30,Arkansas,508,7,59,1
2020-03-31,Arkansas,564,8,56,1
2020-04-01,Arkansas,624,10,60,2
2020-04-02,Arkansas,683,12,59,2
2020-04-03,Arkansas,738,12,55,0
2020-04-04,Arkansas,743,14,5,2
2020-04-05,Arkansas,853,16,110,2
2020-04-06,Arkansas,927,16,74,0
2020-04-07,Arkansas,997,18,70,2
2020-04-08,Arkansas,1077,18,80,0
2020-04-09,Arkansas,1146,21,69,3
2020-04-10,Arkansas,1202,24,56,3
2020-04-11,Arkansas,1228,25,26,1
2020-04-12,Arkansas,1280,27,52,2
2020-04-13,Arkansas,1475,30,195,3
2020-04-14,Arkansas,1498,32,23,2
2020-04-15,Arkansas,1599,34,101,2
2020-04-16,Arkansas,1620,37,21,3
2020-04-17,Arkansas,1695,37,75,0
2020-04-18,Arkansas,1777,38,82,1
2020-04-19,Arkansas,1781,39,4,1
2020-04-20,Arkansas,1971,42,190,3
2020-04-21,Arkansas,2262,43,291,1
2020-04-22,Arkansas,2392,44,130,1
2020-04-23,Arkansas,2599,45,207,1
2020-04-24,Arkansas,2810,47,211,2
2020-04-25,Arkansas,2909,48,99,1
2020-04-26,Arkansas,3001,50,92,2
2020-04-27,Arkansas,3069,51,68,1
2020-04-28,Arkansas,3127,57,58,6
2020-04-29,Arkansas,3207,59,80,2
2020-04-30,Arkansas,3281,61,74,2
2020-05-01,Arkansas,3310,64,29,3
2020-05-02,Arkansas,3372,72,62,8
2020-05-03,Arkansas,3431,76,59,4
2020-05-04,Arkansas,3469,80,38,4
2020-05-05,Arkansas,3525,83,56,3
2020-05-06,Arkansas,3611,87,86,4
2020-05-07,Arkansas,3694,88,83,1
2020-05-08,Arkansas,3747,88,53,0
2020-05-09,Arkansas,3747,88,0,0
2020-05-10,Arkansas,4012,91,265,3
2020-05-11,Arkansas,4043,94,31,3
2020-05-12,Arkansas,4164,95,121,1
2020-05-13,Arkansas,4236,97,72,2
2020-05-14,Arkansas,4366,98,130,1
2020-05-15,Arkansas,4463,98,97,0
2020-05-16,Arkansas,4578,98,115,0
2020-05-17,Arkansas,4759,98,181,0
2020-05-18,Arkansas,4813,100,54,2
2020-05-19,Arkansas,4923,102,110,2
2020-05-20,Arkansas,5003,107,80,5
2020-05-21,Arkansas,5458,110,455,3
2020-05-22,Arkansas,5612,113,154,3
2020-05-23,Arkansas,5775,115,163,2
2020-05-24,Arkansas,5922,116,147,1
2020-05-25,Arkansas,6029,117,107,1
2020-05-26,Arkansas,6180,119,151,2
2020-05-27,Arkansas,6277,120,97,1
2020-05-28,Arkansas,6538,125,261,5
2020-05-29,Arkansas,6777,132,239,7
2020-05-30,Arkansas,7013,133,236,1
2020-05-31,Arkansas,7253,133,240,0
2020-06-01,Arkansas,7443,133,190,0
2020-06-02,Arkansas,7818,136,375,3
2020-06-03,Arkansas,8067,142,249,6
2020-06-04,Arkansas,8425,151,358,9
2020-06-05,Arkansas,8651,152,226,1
2020-06-06,Arkansas,9101,154,450,2
2020-06-07,Arkansas,9426,154,325,0
2020-06-08,Arkansas,9740,155,314,1
2020-06-09,Arkansas,10080,161,340,6
2020-06-10,Arkansas,10368,165,288,4
2020-06-11,Arkansas,10816,171,448,6
2020-06-12,Arkansas,11547,176,731,5
2020-06-13,Arkansas,12095,177,548,1
2020-06-14,Arkansas,12501,179,406,2
2020-06-15,Arkansas,12917,182,416,3
2020-06-16,Arkansas,13191,188,274,6
2020-06-17,Arkansas,13606,197,415,9
2020-06-18,Arkansas,13928,208,322,11
2020-06-19,Arkansas,14631,214,703,6
2020-06-20,Arkansas,15142,224,511,10
2020-06-21,Arkansas,15561,225,419,1
2020-06-22,Arkansas,16083,227,522,2
2020-06-23,Arkansas,16678,237,595,10
2020-06-24,Arkansas,17375,240,697,3
2020-06-25,Arkansas,18062,240,687,0
2020-06-26,Arkansas,18740,249,678,9
2020-06-27,Arkansas,19310,259,570,10
2020-06-28,Arkansas,19818,264,508,5
2020-06-29,Arkansas,20257,265,439,1
2020-06-30,Arkansas,20777,270,520,5
2020-07-01,Arkansas,21197,277,420,7
2020-07-02,Arkansas,22075,279,878,2
2020-07-03,Arkansas,22622,281,547,2
2020-07-04,Arkansas,23209,286,587,5
2020-07-05,Arkansas,23814,287,605,1
2020-07-06,Arkansas,24253,292,439,5
2020-07-07,Arkansas,24512,301,259,9
2020-07-08,Arkansas,25246,305,734,4
2020-07-09,Arkansas,26052,309,806,4
2020-07-10,Arkansas,26803,313,751,4
2020-07-11,Arkansas,27864,319,1061,6
2020-07-12,Arkansas,28367,321,503,2
2020-07-13,Arkansas,28939,323,572,2
2020-07-14,Arkansas,29733,331,794,8
2020-07-15,Arkansas,30297,335,564,4
2020-07-16,Arkansas,31114,341,817,6
2020-07-17,Arkansas,31762,353,648,12
2020-07-18,Arkansas,32533,357,771,4
2020-07-19,Arkansas,33228,357,695,0
2020-07-20,Arkansas,33927,363,699,6
2020-07-21,Arkansas,34655,374,728,11
2020-07-22,Arkansas,35246,380,591,6
2020-07-23,Arkansas,36259,386,1013,6
