date,state,total cases,total deaths,new cases,new deaths
2020-03-06,Minnesota,1,0,1,0
2020-03-07,Minnesota,1,0,0,0
2020-03-08,Minnesota,2,0,1,0
2020-03-09,Minnesota,2,0,0,0
2020-03-10,Minnesota,3,0,1,0
2020-03-11,Minnesota,5,0,2,0
2020-03-12,Minnesota,9,0,4,0
2020-03-13,Minnesota,14,0,5,0
2020-03-14,Minnesota,21,0,7,0
2020-03-15,Minnesota,35,0,14,0
2020-03-16,Minnesota,54,0,19,0
2020-03-17,Minnesota,60,0,6,0
2020-03-18,Minnesota,77,0,17,0
2020-03-19,Minnesota,89,0,12,0
2020-03-20,Minnesota,115,0,26,0
2020-03-21,Minnesota,138,1,23,1
2020-03-22,Minnesota,171,1,33,0
2020-03-23,Minnesota,235,1,64,0
2020-03-24,Minnesota,264,1,29,0
2020-03-25,Minnesota,289,1,25,0
2020-03-26,Minnesota,346,2,57,1
2020-03-27,Minnesota,398,4,52,2
2020-03-28,Minnesota,442,5,44,1
2020-03-29,Minnesota,504,9,62,4
2020-03-30,Minnesota,576,10,72,1
2020-03-31,Minnesota,629,12,53,2
2020-04-01,Minnesota,689,17,60,5
2020-04-02,Minnesota,742,18,53,1
2020-04-03,Minnesota,789,22,47,4
2020-04-04,Minnesota,865,24,76,2
2020-04-05,Minnesota,935,29,70,5
2020-04-06,Minnesota,986,30,51,1
2020-04-07,Minnesota,1069,34,83,4
2020-04-08,Minnesota,1154,39,85,5
2020-04-09,Minnesota,1242,50,88,11
2020-04-10,Minnesota,1335,57,93,7
2020-04-11,Minnesota,1427,64,92,7
2020-04-12,Minnesota,1621,70,194,6
2020-04-13,Minnesota,1650,70,29,0
2020-04-14,Minnesota,1695,79,45,9
2020-04-15,Minnesota,1809,87,114,8
2020-04-16,Minnesota,1912,94,103,7
2020-04-17,Minnesota,2071,111,159,17
2020-04-18,Minnesota,2213,121,142,10
2020-04-19,Minnesota,2356,134,143,13
2020-04-20,Minnesota,2470,143,114,9
2020-04-21,Minnesota,2567,160,97,17
2020-04-22,Minnesota,2721,179,154,19
2020-04-23,Minnesota,2942,200,221,21
2020-04-24,Minnesota,3185,221,243,21
2020-04-25,Minnesota,3446,244,261,23
2020-04-26,Minnesota,3602,272,156,28
2020-04-27,Minnesota,3816,286,214,14
2020-04-28,Minnesota,4181,301,365,15
2020-04-29,Minnesota,4644,319,463,18
2020-04-30,Minnesota,5136,343,492,24
2020-05-01,Minnesota,5730,371,594,28
2020-05-02,Minnesota,6228,395,498,24
2020-05-03,Minnesota,6663,419,435,24
2020-05-04,Minnesota,7234,428,571,9
2020-05-05,Minnesota,7851,455,617,27
2020-05-06,Minnesota,8579,485,728,30
2020-05-07,Minnesota,9364,508,785,23
2020-05-08,Minnesota,10087,534,723,26
2020-05-09,Minnesota,10789,558,702,24
2020-05-10,Minnesota,11270,578,481,20
2020-05-11,Minnesota,11798,591,528,13
2020-05-12,Minnesota,12493,614,695,23
2020-05-13,Minnesota,12916,638,423,24
2020-05-14,Minnesota,13443,672,527,34
2020-05-15,Minnesota,14240,692,797,20
2020-05-16,Minnesota,14969,709,729,17
2020-05-17,Minnesota,15677,731,708,22
2020-05-18,Minnesota,16372,740,695,9
2020-05-19,Minnesota,17038,757,666,17
2020-05-20,Minnesota,17679,786,641,29
2020-05-21,Minnesota,18209,818,530,32
2020-05-22,Minnesota,19014,851,805,33
2020-05-23,Minnesota,19854,861,840,10
2020-05-24,Minnesota,20582,878,728,17
2020-05-25,Minnesota,21324,890,742,12
2020-05-26,Minnesota,21969,908,645,18
2020-05-27,Minnesota,22474,942,505,34
2020-05-28,Minnesota,22957,977,483,35
2020-05-29,Minnesota,23541,1006,584,29
2020-05-30,Minnesota,24200,1036,659,30
2020-05-31,Minnesota,24860,1050,660,14
2020-06-01,Minnesota,25218,1060,358,10
2020-06-02,Minnesota,25518,1082,300,22
2020-06-03,Minnesota,25881,1097,363,15
2020-06-04,Minnesota,26284,1126,403,29
2020-06-05,Minnesota,26991,1159,707,33
2020-06-06,Minnesota,27512,1181,521,22
2020-06-07,Minnesota,27897,1197,385,16
2020-06-08,Minnesota,28235,1208,338,11
2020-06-09,Minnesota,28534,1228,299,20
2020-06-10,Minnesota,28900,1267,366,39
2020-06-11,Minnesota,29347,1280,447,13
2020-06-12,Minnesota,29826,1305,479,25
2020-06-13,Minnesota,30203,1314,377,9
2020-06-14,Minnesota,30502,1329,299,15
2020-06-15,Minnesota,30724,1335,222,6
2020-06-16,Minnesota,30913,1344,189,9
2020-06-17,Minnesota,31328,1357,415,13
2020-06-18,Minnesota,31707,1376,379,19
2020-06-19,Minnesota,32063,1393,356,17
2020-06-20,Minnesota,32499,1404,436,11
2020-06-21,Minnesota,32952,1412,453,8
2020-06-22,Minnesota,33259,1416,307,4
2020-06-23,Minnesota,33501,1425,242,9
2020-06-24,Minnesota,33798,1432,297,7
2020-06-25,Minnesota,34158,1441,360,9
2020-06-26,Minnesota,34651,1446,493,5
2020-06-27,Minnesota,35068,1452,417,6
2020-06-28,Minnesota,35584,1460,516,8
2020-06-29,Minnesota,35896,1470,312,10
2020-06-30,Minnesota,36338,1476,442,6
2020-07-01,Minnesota,36753,1482,415,6
2020-07-02,Minnesota,37247,1495,494,13
2020-07-03,Minnesota,37661,1503,414,8
2020-07-04,Minnesota,37661,1503,0,0
2020-07-05,Minnesota,38173,1508,512,5
2020-07-06,Minnesota,38606,1511,433,3
2020-07-07,Minnesota,39170,1514,564,3
2020-07-08,Minnesota,39627,1523,457,9
2020-07-09,Minnesota,40201,1528,574,5
2020-07-10,Minnesota,40805,1533,604,5
2020-07-11,Minnesota,41609,1537,804,4
2020-07-12,Minnesota,42319,1540,710,3
2020-07-13,Minnesota,42810,1542,491,2
2020-07-14,Minnesota,43208,1548,398,6
2020-07-15,Minnesota,43782,1558,574,10
2020-07-16,Minnesota,44387,1566,605,8
2020-07-17,Minnesota,45053,1573,666,7
2020-07-18,Minnesota,45510,1578,457,5
2020-07-19,Minnesota,46244,1581,734,3
2020-07-20,Minnesota,47147,1585,903,4
2020-07-21,Minnesota,47497,1588,350,3
2020-07-22,Minnesota,48001,1592,504,4
2020-07-23,Minnesota,48761,1601,760,9
2020-07-24,Minnesota,49528,1606,767,5
2020-07-25,Minnesota,50331,1611,803,5
2020-07-26,Minnesota,51193,1614,862,3
2020-07-27,Minnesota,51843,1616,650,2
2020-07-28,Minnesota,52321,1620,478,4
2020-07-29,Minnesota,52987,1629,666,9
2020-07-30,Minnesota,53732,1634,745,5
2020-07-31,Minnesota,54503,1640,771,6
2020-08-01,Minnesota,55228,1646,725,6
2020-08-02,Minnesota,55987,1654,759,8
2020-08-03,Minnesota,56600,1656,613,2
2020-08-04,Minnesota,57202,1660,602,4
2020-08-05,Minnesota,57820,1670,618,10
2020-08-06,Minnesota,58681,1677,861,7
2020-08-07,Minnesota,59226,1681,545,4
2020-08-08,Minnesota,60142,1689,916,8
2020-08-09,Minnesota,60939,1698,797,9
2020-08-10,Minnesota,61557,1701,618,3
2020-08-11,Minnesota,61880,1707,323,6
2020-08-12,Minnesota,62349,1724,469,17
2020-08-13,Minnesota,63039,1731,690,7
2020-08-14,Minnesota,63769,1739,730,8
2020-08-15,Minnesota,64459,1745,690,6
2020-08-16,Minnesota,65198,1752,739,7
2020-08-17,Minnesota,65762,1758,564,6
2020-08-18,Minnesota,66107,1767,345,9
2020-08-19,Minnesota,66664,1784,557,17
2020-08-20,Minnesota,67354,1791,690,7
2020-08-21,Minnesota,68179,1799,825,8
2020-08-22,Minnesota,68913,1807,734,8
2020-08-23,Minnesota,69630,1813,717,6
2020-08-24,Minnesota,70344,1817,714,4
2020-08-25,Minnesota,70753,1825,409,8
2020-08-26,Minnesota,71285,1842,532,17
2020-08-27,Minnesota,72439,1855,1154,13
2020-08-28,Minnesota,73289,1859,850,4
2020-08-29,Minnesota,74306,1863,1017,4
2020-08-30,Minnesota,75238,1865,932,2
2020-08-31,Minnesota,75913,1866,675,1
2020-09-01,Minnesota,76404,1872,491,6
2020-09-02,Minnesota,77137,1882,733,10
2020-09-03,Minnesota,78175,1889,1038,7
2020-09-04,Minnesota,79018,1899,843,10
2020-09-05,Minnesota,79932,1903,914,4
2020-09-06,Minnesota,80639,1909,707,6
2020-09-07,Minnesota,81277,1912,638,3
2020-09-08,Minnesota,81660,1914,383,2
2020-09-09,Minnesota,81920,1921,260,7
2020-09-10,Minnesota,82301,1936,381,15
2020-09-11,Minnesota,82768,1949,467,13
2020-09-12,Minnesota,83640,1958,872,9
2020-09-13,Minnesota,84363,1971,723,13
2020-09-14,Minnesota,85001,1974,638,3
2020-09-15,Minnesota,85403,1979,402,5
2020-09-16,Minnesota,85865,1985,462,6
2020-09-17,Minnesota,86774,1994,909,9
2020-09-18,Minnesota,87859,2002,1085,8
2020-09-19,Minnesota,88773,2015,914,13
2020-09-20,Minnesota,90069,2017,1296,2
2020-09-21,Minnesota,90994,2021,925,4
2020-09-22,Minnesota,91474,2031,480,10
2020-09-23,Minnesota,92152,2037,678,6
