date,state,total cases,total deaths,new cases,new deaths
2020-03-07,Kansas,1,0,1,0
2020-03-08,Kansas,1,0,0,0
2020-03-09,Kansas,1,0,0,0
2020-03-10,Kansas,1,0,0,0
2020-03-11,Kansas,1,0,0,0
2020-03-12,Kansas,5,1,4,1
2020-03-13,Kansas,6,1,1,0
2020-03-14,Kansas,8,1,2,0
2020-03-15,Kansas,9,1,1,0
2020-03-16,Kansas,11,1,2,0
2020-03-17,Kansas,17,1,6,0
2020-03-18,Kansas,22,1,5,0
2020-03-19,Kansas,35,1,13,0
2020-03-20,Kansas,49,1,14,0
2020-03-21,Kansas,57,2,8,1
2020-03-22,Kansas,66,2,9,0
2020-03-23,Kansas,82,2,16,0
2020-03-24,Kansas,102,3,20,1
2020-03-25,Kansas,134,3,32,0
2020-03-26,Kansas,173,3,39,0
2020-03-27,Kansas,213,4,40,1
2020-03-28,Kansas,272,6,59,2
2020-03-29,Kansas,333,7,61,1
2020-03-30,Kansas,374,9,41,2
2020-03-31,Kansas,435,10,61,1
2020-04-01,Kansas,489,11,54,1
2020-04-02,Kansas,554,14,65,3
2020-04-03,Kansas,625,19,71,5
2020-04-04,Kansas,702,21,77,2
2020-04-05,Kansas,769,23,67,2
2020-04-06,Kansas,854,25,85,2
2020-04-07,Kansas,905,30,51,5
2020-04-08,Kansas,1055,38,150,8
2020-04-09,Kansas,1116,42,61,4
2020-04-10,Kansas,1180,50,64,8
2020-04-11,Kansas,1282,55,102,5
2020-04-12,Kansas,1337,56,55,1
2020-04-13,Kansas,1384,63,47,7
2020-04-14,Kansas,1440,69,56,6
2020-04-15,Kansas,1503,76,63,7
2020-04-16,Kansas,1595,80,92,4
2020-04-17,Kansas,1732,84,137,4
2020-04-18,Kansas,1820,86,88,2
2020-04-19,Kansas,1897,94,77,8
2020-04-20,Kansas,2030,101,133,7
2020-04-21,Kansas,2114,107,84,6
2020-04-22,Kansas,2291,111,177,4
2020-04-23,Kansas,2626,112,335,1
2020-04-24,Kansas,2842,117,216,5
2020-04-25,Kansas,3091,119,249,2
2020-04-26,Kansas,3198,120,107,1
2020-04-27,Kansas,3407,126,209,6
2020-04-28,Kansas,3601,127,194,1
2020-04-29,Kansas,3811,132,210,5
2020-04-30,Kansas,4305,133,494,1
2020-05-01,Kansas,4510,136,205,3
2020-05-02,Kansas,4863,140,353,4
2020-05-03,Kansas,5177,142,314,2
2020-05-04,Kansas,5385,154,208,12
2020-05-05,Kansas,5627,160,242,6
2020-05-06,Kansas,5893,163,266,3
2020-05-07,Kansas,6240,164,347,1
2020-05-08,Kansas,6751,167,511,3
2020-05-09,Kansas,6923,172,172,5
2020-05-10,Kansas,7045,172,122,0
2020-05-11,Kansas,7161,174,116,2
2020-05-12,Kansas,7352,178,191,4
2020-05-13,Kansas,7552,179,200,1
2020-05-14,Kansas,7668,181,116,2
2020-05-15,Kansas,8006,187,338,6
2020-05-16,Kansas,8059,189,53,2
2020-05-17,Kansas,8066,189,7,0
2020-05-18,Kansas,8439,190,373,1
2020-05-19,Kansas,8488,193,49,3
2020-05-20,Kansas,8661,197,173,4
2020-05-21,Kansas,8771,199,110,2
2020-05-22,Kansas,9068,200,297,1
2020-05-23,Kansas,9119,200,51,0
2020-05-24,Kansas,9135,200,16,0
2020-05-25,Kansas,9272,201,137,1
2020-05-26,Kansas,9352,204,80,3
2020-05-27,Kansas,9453,207,101,3
2020-05-28,Kansas,9513,209,60,2
2020-05-29,Kansas,9826,209,313,0
2020-05-30,Kansas,9847,209,21,0
2020-05-31,Kansas,9878,211,31,2
2020-06-01,Kansas,10103,217,225,6
2020-06-02,Kansas,10143,227,40,10
2020-06-03,Kansas,10281,227,138,0
2020-06-04,Kansas,10332,230,51,3
2020-06-05,Kansas,10493,233,161,3
2020-06-06,Kansas,10517,234,24,1
2020-06-07,Kansas,10549,234,32,0
2020-06-08,Kansas,10724,237,175,3
2020-06-09,Kansas,10786,238,62,1
2020-06-10,Kansas,10931,241,145,3
2020-06-11,Kansas,10984,242,53,1
2020-06-12,Kansas,11152,243,168,1
2020-06-13,Kansas,11195,244,43,1
2020-06-14,Kansas,11247,244,52,0
2020-06-15,Kansas,11516,246,269,2
2020-06-16,Kansas,11569,246,53,0
2020-06-17,Kansas,11801,248,232,2
2020-06-18,Kansas,11886,252,85,4
2020-06-19,Kansas,12168,254,282,2
2020-06-20,Kansas,12218,257,50,3
2020-06-21,Kansas,12258,258,40,1
2020-06-22,Kansas,12576,260,318,2
2020-06-23,Kansas,12659,261,83,1
2020-06-24,Kansas,13110,262,451,1
2020-06-25,Kansas,13207,263,97,1
2020-06-26,Kansas,13729,266,522,3
2020-06-27,Kansas,13767,269,38,3
2020-06-28,Kansas,14016,272,249,3
2020-06-29,Kansas,14568,276,552,4
2020-06-30,Kansas,14629,276,61,0
2020-07-01,Kansas,15142,280,513,4
2020-07-02,Kansas,15226,282,84,2
2020-07-03,Kansas,16015,283,789,1
2020-07-04,Kansas,16165,284,150,1
2020-07-05,Kansas,16289,287,124,3
2020-07-06,Kansas,17082,288,793,1
2020-07-07,Kansas,17157,290,75,2
2020-07-08,Kansas,17807,291,650,1
2020-07-09,Kansas,18031,294,224,3
2020-07-10,Kansas,18799,294,768,0
2020-07-11,Kansas,18983,294,184,0
2020-07-12,Kansas,19295,300,312,6
2020-07-13,Kansas,20265,301,970,1
2020-07-14,Kansas,20347,303,82,2
2020-07-15,Kansas,21157,308,810,5
2020-07-16,Kansas,21273,309,116,1
2020-07-17,Kansas,22199,310,926,1
2020-07-18,Kansas,22238,312,39,2
2020-07-19,Kansas,22459,313,221,1
2020-07-20,Kansas,23544,318,1085,5
2020-07-21,Kansas,23606,319,62,1
2020-07-22,Kansas,24376,324,770,5
2020-07-23,Kansas,24518,326,142,2
2020-07-24,Kansas,25403,330,885,4
2020-07-25,Kansas,25464,333,61,3
2020-07-26,Kansas,25649,335,185,2
2020-07-27,Kansas,26439,338,790,3
2020-07-28,Kansas,26494,344,55,6
2020-07-29,Kansas,27177,349,683,5
2020-07-30,Kansas,27244,357,67,8
2020-07-31,Kansas,28121,358,877,1
2020-08-01,Kansas,28147,358,26,0
2020-08-02,Kansas,28341,361,194,3
2020-08-03,Kansas,29200,366,859,5
2020-08-04,Kansas,29259,367,59,1
2020-08-05,Kansas,30047,371,788,4
2020-08-06,Kansas,30153,376,106,5
2020-08-07,Kansas,30966,380,813,4
2020-08-08,Kansas,30992,380,26,0
2020-08-09,Kansas,31145,380,153,0
2020-08-10,Kansas,32094,387,949,7
2020-08-11,Kansas,32181,388,87,1
2020-08-12,Kansas,32977,397,796,9
2020-08-13,Kansas,33087,403,110,6
2020-08-14,Kansas,34246,404,1159,1
2020-08-15,Kansas,34294,406,48,2
2020-08-16,Kansas,34495,406,201,0
2020-08-17,Kansas,35544,410,1049,4
2020-08-18,Kansas,35632,415,88,5
2020-08-19,Kansas,36333,420,701,5
2020-08-20,Kansas,36445,423,112,3
2020-08-21,Kansas,37411,430,966,7
2020-08-22,Kansas,37544,431,133,1
2020-08-23,Kansas,37726,431,182,0
2020-08-24,Kansas,39008,432,1282,1
2020-08-25,Kansas,39089,433,81,1
2020-08-26,Kansas,40564,445,1475,12
2020-08-27,Kansas,40702,446,138,1
2020-08-28,Kansas,41808,448,1106,2
2020-08-29,Kansas,41909,449,101,1
2020-08-30,Kansas,42011,450,102,1
2020-08-31,Kansas,43407,451,1396,1
