date,state,total cases,total deaths,new cases,new deaths
2020-03-11,North Dakota,1,0,1,0
2020-03-12,North Dakota,1,0,0,0
2020-03-13,North Dakota,1,0,0,0
2020-03-14,North Dakota,1,0,0,0
2020-03-15,North Dakota,1,0,0,0
2020-03-16,North Dakota,1,0,0,0
2020-03-17,North Dakota,5,0,4,0
2020-03-18,North Dakota,7,0,2,0
2020-03-19,North Dakota,19,0,12,0
2020-03-20,North Dakota,27,0,8,0
2020-03-21,North Dakota,28,0,1,0
2020-03-22,North Dakota,30,0,2,0
2020-03-23,North Dakota,32,0,2,0
2020-03-24,North Dakota,37,0,5,0
2020-03-25,North Dakota,45,0,8,0
2020-03-26,North Dakota,58,0,13,0
2020-03-27,North Dakota,68,1,10,1
2020-03-28,North Dakota,93,1,25,0
2020-03-29,North Dakota,97,1,4,0
2020-03-30,North Dakota,109,3,12,2
2020-03-31,North Dakota,126,3,17,0
2020-04-01,North Dakota,147,3,21,0
2020-04-02,North Dakota,159,3,12,0
2020-04-03,North Dakota,173,3,14,0
2020-04-04,North Dakota,186,3,13,0
2020-04-05,North Dakota,207,3,21,0
2020-04-06,North Dakota,225,3,18,0
2020-04-07,North Dakota,237,4,12,1
2020-04-08,North Dakota,251,4,14,0
2020-04-09,North Dakota,269,5,18,1
2020-04-10,North Dakota,278,7,9,2
2020-04-11,North Dakota,293,7,15,0
2020-04-12,North Dakota,308,8,15,1
2020-04-13,North Dakota,331,9,23,1
2020-04-14,North Dakota,341,9,10,0
2020-04-15,North Dakota,365,9,24,0
2020-04-16,North Dakota,393,9,28,0
2020-04-17,North Dakota,439,9,46,0
2020-04-18,North Dakota,528,9,89,0
2020-04-19,North Dakota,585,10,57,1
2020-04-20,North Dakota,627,13,42,3
2020-04-21,North Dakota,644,13,17,0
2020-04-22,North Dakota,679,14,35,1
2020-04-23,North Dakota,709,15,30,1
2020-04-24,North Dakota,748,15,39,0
2020-04-25,North Dakota,803,16,55,1
2020-04-26,North Dakota,867,17,64,1
2020-04-27,North Dakota,942,19,75,2
